,Game,Platform,Year_of_Release,Genre,Publisher,Critic_Score,User_Score,Developer,ESRB Rating,Composer,Composer Birthday,Composer Rank,Composer Rating,VGMDB Soundtrack Rating,VGMDB Soundtrack Popularity,mp3 Downloads Rank
180,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Junichi Masuda,1968-01-12,5712.0,4.14,,,608.0
181,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Junichi Masuda,1968-01-12,5712.0,4.14,,,851.0
182,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,64.0
183,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,146.0
184,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,368.0
185,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,411.0
186,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,558.0
187,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,608.0
188,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,851.0
189,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Keiichi Suzuki,1951-08-28,8099.0,3.97,,,64.0
190,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Keiichi Suzuki,1951-08-28,8099.0,3.97,,,146.0
191,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Keiichi Suzuki,1951-08-28,8099.0,3.97,,,368.0
192,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Keiichi Suzuki,1951-08-28,8099.0,3.97,,,411.0
193,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Keiichi Suzuki,1951-08-28,8099.0,3.97,,,558.0
194,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Keiichi Suzuki,1951-08-28,8099.0,3.97,,,608.0
195,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Keiichi Suzuki,1951-08-28,8099.0,3.97,,,851.0
196,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Koji Kondo,1961-08-13,7399.0,4.03,,,64.0
197,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Koji Kondo,1961-08-13,7399.0,4.03,,,146.0
198,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Koji Kondo,1961-08-13,7399.0,4.03,,,368.0
199,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Koji Kondo,1961-08-13,7399.0,4.03,,,411.0
200,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Koji Kondo,1961-08-13,7399.0,4.03,,,558.0
201,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Koji Kondo,1961-08-13,7399.0,4.03,,,608.0
202,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Koji Kondo,1961-08-13,7399.0,4.03,,,851.0
203,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Mahito Yokota,,4161.0,4.23,,,64.0
204,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Mahito Yokota,,4161.0,4.23,,,146.0
205,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Mahito Yokota,,4161.0,4.23,,,368.0
206,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Mahito Yokota,,4161.0,4.23,,,411.0
207,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Mahito Yokota,,4161.0,4.23,,,558.0
208,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Mahito Yokota,,4161.0,4.23,,,608.0
209,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Mahito Yokota,,4161.0,4.23,,,851.0
210,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Norihiko Hibino,1973-09-03,7388.0,4.03,,,64.0
211,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Norihiko Hibino,1973-09-03,7388.0,4.03,,,146.0
212,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Norihiko Hibino,1973-09-03,7388.0,4.03,,,368.0
213,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Norihiko Hibino,1973-09-03,7388.0,4.03,,,411.0
214,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Norihiko Hibino,1973-09-03,7388.0,4.03,,,558.0
215,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Norihiko Hibino,1973-09-03,7388.0,4.03,,,608.0
216,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Norihiko Hibino,1973-09-03,7388.0,4.03,,,851.0
217,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Rika Muranaka,,4174.0,4.23,,,64.0
218,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Rika Muranaka,,4174.0,4.23,,,146.0
219,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Rika Muranaka,,4174.0,4.23,,,368.0
220,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Rika Muranaka,,4174.0,4.23,,,411.0
221,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Rika Muranaka,,4174.0,4.23,,,558.0
222,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Rika Muranaka,,4174.0,4.23,,,608.0
223,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Rika Muranaka,,4174.0,4.23,,,851.0
224,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Toru Minegishi,,7475.0,4.03,,,64.0
225,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Toru Minegishi,,7475.0,4.03,,,146.0
226,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Toru Minegishi,,7475.0,4.03,,,368.0
227,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Toru Minegishi,,7475.0,4.03,,,411.0
228,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Toru Minegishi,,7475.0,4.03,,,558.0
229,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Toru Minegishi,,7475.0,4.03,,,608.0
230,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Toru Minegishi,,7475.0,4.03,,,851.0
231,Assassin's Creed Ii,PS3,2009,Action,Ubisoft,91.0,8.6,Ubisoft Montreal,M,Jesper Kyd,1972-02-03,8115.0,3.97,4.55,0.1703,16.0
232,Assassin's Creed Ii,X360,2009,Action,Ubisoft,90.0,8.8,Ubisoft Montreal,M,Jesper Kyd,1972-02-03,8115.0,3.97,4.55,0.1703,16.0
233,Assassin's Creed Ii,PC,2010,Action,Ubisoft,86.0,6.9,Ubisoft Montreal,M,Jesper Kyd,1972-02-03,8115.0,3.97,4.55,0.1703,16.0
234,Assassin's Creed,X360,2007,Adventure,Ubisoft,81.0,7.7,Ubisoft Montreal,M,Jesper Kyd,1972-02-03,8115.0,3.97,3.88,0.0875,410.0
235,Assassin's Creed,X360,2007,Adventure,Ubisoft,81.0,7.7,Ubisoft Montreal,M,Lorne Balfe,1976-02-23,7553.0,4.02,3.88,0.0875,410.0
236,Assassin's Creed,X360,2007,Adventure,Ubisoft,81.0,7.7,Ubisoft Montreal,M,Winifred Phillips,,9787.0,3.68,3.88,0.0875,410.0
237,Assassin's Creed,PS3,2007,Adventure,Ubisoft,81.0,7.3,Ubisoft Montreal,M,Jesper Kyd,1972-02-03,8115.0,3.97,3.88,0.0875,410.0
238,Assassin's Creed,PS3,2007,Adventure,Ubisoft,81.0,7.3,Ubisoft Montreal,M,Lorne Balfe,1976-02-23,7553.0,4.02,3.88,0.0875,410.0
239,Assassin's Creed,PS3,2007,Adventure,Ubisoft,81.0,7.3,Ubisoft Montreal,M,Winifred Phillips,,9787.0,3.68,3.88,0.0875,410.0
240,Assassin's Creed,PC,2008,Adventure,Ubisoft,,,,,Jesper Kyd,1972-02-03,8115.0,3.97,3.88,0.0875,410.0
241,Assassin's Creed,PC,2008,Adventure,Ubisoft,,,,,Lorne Balfe,1976-02-23,7553.0,4.02,3.88,0.0875,410.0
242,Assassin's Creed,PC,2008,Adventure,Ubisoft,,,,,Winifred Phillips,,9787.0,3.68,3.88,0.0875,410.0
243,Pokemon Stadium,N64,1999,Strategy,Nintendo,,,,,Junichi Masuda,1968-01-12,5712.0,4.14,,,699.0
244,Dr. Mario,GB,1989,Puzzle,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,435.0
245,Dr. Mario,GB,1989,Puzzle,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,856.0
246,Dr. Mario,GB,1989,Puzzle,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,435.0
247,Dr. Mario,GB,1989,Puzzle,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,856.0
248,Dr. Mario,NES,1990,Puzzle,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,435.0
249,Dr. Mario,NES,1990,Puzzle,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,856.0
250,Dr. Mario,NES,1990,Puzzle,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,435.0
251,Dr. Mario,NES,1990,Puzzle,Nintendo,,,,,Kazumi Totaka,1967-08-23,6777.0,4.07,,,856.0
252,Professor Layton And The Curious Village,DS,2007,Puzzle,Nintendo,85.0,8.6,Level 5,E,Tomohito Nishiura,1973-02-13,6999.0,4.06,3.79,0.1043,
253,Diablo Iii,PC,2012,Role-Playing,Activision,88.0,4,Blizzard Entertainment,M,Koji Kondo,1961-08-13,7399.0,4.03,3.77,0.0515,
254,Diablo Iii,PC,2012,Role-Playing,Activision,88.0,4,Blizzard Entertainment,M,Kow Otani,1957-05-01,3080.0,4.29,3.77,0.0515,
255,Diablo Iii,PC,2012,Role-Playing,Activision,88.0,4,Blizzard Entertainment,M,Matt Uelmen,1972-07-31,4317.0,4.22,3.77,0.0515,
256,Diablo Iii,PC,2012,Role-Playing,Activision,88.0,4,Blizzard Entertainment,M,Russell Brower,,9434.0,3.78,3.77,0.0515,
257,Diablo Iii,PC,2012,Role-Playing,Activision,88.0,4,Blizzard Entertainment,M,Toru Minegishi,,7475.0,4.03,3.77,0.0515,
258,Diablo Iii,PS3,2013,Role-Playing,Activision,86.0,6.4,Blizzard Entertainment,M,Koji Kondo,1961-08-13,7399.0,4.03,3.77,0.0515,
259,Diablo Iii,PS3,2013,Role-Playing,Activision,86.0,6.4,Blizzard Entertainment,M,Kow Otani,1957-05-01,3080.0,4.29,3.77,0.0515,
260,Diablo Iii,PS3,2013,Role-Playing,Activision,86.0,6.4,Blizzard Entertainment,M,Matt Uelmen,1972-07-31,4317.0,4.22,3.77,0.0515,
261,Diablo Iii,PS3,2013,Role-Playing,Activision,86.0,6.4,Blizzard Entertainment,M,Russell Brower,,9434.0,3.78,3.77,0.0515,
262,Diablo Iii,PS3,2013,Role-Playing,Activision,86.0,6.4,Blizzard Entertainment,M,Toru Minegishi,,7475.0,4.03,3.77,0.0515,
263,Diablo Iii,PS4,2014,Role-Playing,Activision,,,Blizzard Entertainment,M,Koji Kondo,1961-08-13,7399.0,4.03,3.77,0.0515,
264,Diablo Iii,PS4,2014,Role-Playing,Activision,,,Blizzard Entertainment,M,Kow Otani,1957-05-01,3080.0,4.29,3.77,0.0515,
265,Diablo Iii,PS4,2014,Role-Playing,Activision,,,Blizzard Entertainment,M,Matt Uelmen,1972-07-31,4317.0,4.22,3.77,0.0515,
266,Diablo Iii,PS4,2014,Role-Playing,Activision,,,Blizzard Entertainment,M,Russell Brower,,9434.0,3.78,3.77,0.0515,
267,Diablo Iii,PS4,2014,Role-Playing,Activision,,,Blizzard Entertainment,M,Toru Minegishi,,7475.0,4.03,3.77,0.0515,
268,Diablo Iii,X360,2013,Role-Playing,Activision,87.0,6.6,Blizzard Entertainment,M,Koji Kondo,1961-08-13,7399.0,4.03,3.77,0.0515,
269,Diablo Iii,X360,2013,Role-Playing,Activision,87.0,6.6,Blizzard Entertainment,M,Kow Otani,1957-05-01,3080.0,4.29,3.77,0.0515,
270,Diablo Iii,X360,2013,Role-Playing,Activision,87.0,6.6,Blizzard Entertainment,M,Matt Uelmen,1972-07-31,4317.0,4.22,3.77,0.0515,
271,Diablo Iii,X360,2013,Role-Playing,Activision,87.0,6.6,Blizzard Entertainment,M,Russell Brower,,9434.0,3.78,3.77,0.0515,
272,Diablo Iii,X360,2013,Role-Playing,Activision,87.0,6.6,Blizzard Entertainment,M,Toru Minegishi,,7475.0,4.03,3.77,0.0515,
273,Diablo Iii,XOne,2014,Role-Playing,Activision,,,,,Koji Kondo,1961-08-13,7399.0,4.03,3.77,0.0515,
274,Diablo Iii,XOne,2014,Role-Playing,Activision,,,,,Kow Otani,1957-05-01,3080.0,4.29,3.77,0.0515,
275,Diablo Iii,XOne,2014,Role-Playing,Activision,,,,,Matt Uelmen,1972-07-31,4317.0,4.22,3.77,0.0515,
276,Diablo Iii,XOne,2014,Role-Playing,Activision,,,,,Russell Brower,,9434.0,3.78,3.77,0.0515,
277,Diablo Iii,XOne,2014,Role-Playing,Activision,,,,,Toru Minegishi,,7475.0,4.03,3.77,0.0515,
278,Starcraft Ii: Wings Of Liberty,PC,2010,Strategy,Activision,93.0,8.2,Blizzard Entertainment,T,Matt Uelmen,1972-07-31,4317.0,4.22,4.24,0.1215,
279,Starcraft Ii: Wings Of Liberty,PC,2010,Strategy,Activision,93.0,8.2,Blizzard Entertainment,T,Russell Brower,,9434.0,3.78,4.24,0.1215,
280,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,88.0,9,Naughty Dog,E,Mutato Muzika,,,,,,392.0
281,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,73.0,7.6,Nintendo,E,Kazumi Totaka,1967-08-23,6777.0,4.07,,,360.0
282,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,86.0,8.4,Next Level Games,E,Kazumi Totaka,1967-08-23,6777.0,4.07,,,293.0
283,The Elder Scrolls Iv: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,94.0,8.7,Bethesda Softworks,M,Jeremy Soule,1975-12-19,9023.0,3.86,4.02,0.1602,
284,The Elder Scrolls Iv: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,94.0,8.7,Bethesda Softworks,M,Richard Joseph,1953-04-23,8168.0,3.97,4.02,0.1602,
285,The Elder Scrolls Iv: Oblivion,PS3,2007,Role-Playing,Ubisoft,93.0,8,4J Studios,M,Jeremy Soule,1975-12-19,9023.0,3.86,4.02,0.1602,
286,The Elder Scrolls Iv: Oblivion,PS3,2007,Role-Playing,Ubisoft,93.0,8,4J Studios,M,Richard Joseph,1953-04-23,8168.0,3.97,4.02,0.1602,
287,The Elder Scrolls Iv: Oblivion,PC,2006,Role-Playing,Take-Two Interactive,94.0,8.1,Bethesda Softworks,M,Jeremy Soule,1975-12-19,9023.0,3.86,4.02,0.1602,
288,The Elder Scrolls Iv: Oblivion,PC,2006,Role-Playing,Take-Two Interactive,94.0,8.1,Bethesda Softworks,M,Richard Joseph,1953-04-23,8168.0,3.97,4.02,0.1602,
289,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,61.0
290,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,123.0
291,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,459.0
292,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,905.0
293,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,61.0
294,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,123.0
295,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,459.0
296,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,905.0
297,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,61.0
298,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,123.0
299,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,459.0
300,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,905.0
301,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,61.0
302,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,123.0
303,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,459.0
304,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,905.0
305,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,61.0
306,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,123.0
307,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,459.0
308,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,905.0
309,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,61.0
310,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,123.0
311,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,459.0
312,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.46,0.113,905.0
313,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,61.0
314,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,123.0
315,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,459.0
316,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.5,0.1853,905.0
317,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,61.0
318,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,123.0
319,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,459.0
320,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Jun Senoue,1970-08-02,6091.0,4.12,4.7,0.3403,905.0
321,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,61.0
322,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,123.0
323,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,459.0
324,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,3.75,0.0439,905.0
325,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,61.0
326,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,123.0
327,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,459.0
328,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.07,0.0549,905.0
329,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,61.0
330,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,123.0
331,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,459.0
332,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.13,0.0675,905.0
333,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,61.0
334,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,123.0
335,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,459.0
336,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.14,0.0695,905.0
337,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,61.0
338,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,123.0
339,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,459.0
340,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.39,0.1039,905.0
341,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,61.0
342,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,123.0
343,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,459.0
344,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.46,0.113,905.0
345,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,61.0
346,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,123.0
347,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,459.0
348,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.5,0.1853,905.0
349,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.7,0.3403,61.0
350,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.7,0.3403,123.0
351,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.7,0.3403,459.0
352,Sonic The Hedgehog,GEN,1991,Platform,Sega,,,,,Tomoya Ohtani,1974-07-01,5079.0,4.18,4.7,0.3403,905.0
353,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,61.0
354,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,123.0
355,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,459.0
356,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,3.75,0.0439,905.0
357,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,61.0
358,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,123.0
359,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,459.0
360,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.07,0.0549,905.0
361,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,61.0
362,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,123.0
363,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,459.0
364,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.13,0.0675,905.0
365,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,61.0
366,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,123.0
367,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,459.0
368,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.14,0.0695,905.0
369,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,61.0
370,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,123.0
371,Sonic The Hedgehog,PS3,2006,Platform,Sega,43.0,4.1,Sonic Team,E10+,Jun Senoue,1970-08-02,6091.0,4.12,4.39,0.1039,459.0
