Soundtrack; Composer; Composer Birthday
Guilty Gear Original Sound Collection; Daisuke Ishiwatari; n/a
Guilty Gear Series Best Sound Collection; Daisuke Ishiwatari; n/a
Guilty Gear Sound Complete Box; Daisuke Ishiwatari; n/a
Guilty Gear X Heavy Rock Tracks ~ The Original Soundtrack of Dreamcast; Daisuke Ishiwatari; n/a
Guilty Gear X Original Sound Track; Daisuke Ishiwatari; n/a
Guilty Gear X Rising Force Of Gear Image Vocal Tracks -Side.I ROCK YOU!!-; Daisuke Ishiwatari; n/a
Guilty Gear X Rising Force Of Gear Image Vocal Tracks -Side.II SLASH!!-; Daisuke Ishiwatari; n/a
Guilty Gear X Rising Force Of Gear Image Vocal Tracks -Side.III DESTROY!!-; Daisuke Ishiwatari; n/a
Guilty Gear XX in L.A. Vocal Edition; Daisuke Ishiwatari; n/a
Guilty Gear XX in N.Y Vocal Edition; Daisuke Ishiwatari; n/a
Guilty Gear XX Original Soundtrack; Daisuke Ishiwatari; n/a
Guilty Gear XX Sound Alive; Daisuke Ishiwatari; n/a
Guilty Gear; Daisuke Ishiwatari; n/a
Guilty Gear X; Daisuke Ishiwatari; n/a
Guilty Gear X2; Daisuke Ishiwatari; n/a
Guilty Gear Judgment; Daisuke Ishiwatari; n/a
Guilty Gear 2: Overture; Daisuke Ishiwatari; n/a
Guilty Gear Xrd; Daisuke Ishiwatari; n/a
Guilty Gear Petit; Daisuke Ishiwatari; n/a
Guilty Gear Isuka; Daisuke Ishiwatari; n/a
Guilty Gear Dust Strikers; Daisuke Ishiwatari; n/a
BlazBlue; Daisuke Ishiwatari; n/a
Blood; Daniel Bernstein; n/a
Blood: Plasma Pak; Daniel Bernstein; n/a
Blood II: The Chosen; Daniel Bernstein; n/a
The Nightmare Levels; Daniel Bernstein; n/a
The Operative: No One Lives Forever; Daniel Bernstein; n/a
No One Lives Forever 2: A Spy in H.A.R.M.'s Way; Daniel Bernstein; n/a
Contract J.A.C.K.; Daniel Bernstein; n/a
F.E.A.R.; Daniel Bernstein; n/a
F.E.A.R. 2: Project Origin; Daniel Bernstein; n/a
F.E.A.R. 2: Reborn; Daniel Bernstein; n/a
Condemned: Criminal Origins; Daniel Bernstein; n/a
Condemned 2: Bloodshot; Daniel Bernstein; n/a
Guardians of Middle-earth; Daniel Bernstein; n/a
Middle-earth: Shadow of Mordor; Daniel Bernstein; n/a
Middle-earth: Shadow of War; Daniel Bernstein; n/a
Aliens versus Predator 2; Daniel Bernstein; n/a
Claw; Daniel Bernstein; n/a
Get Medieval; Daniel Bernstein; n/a
Gotham City Impostors; Daniel Bernstein; n/a
Gruntz; Daniel Bernstein; n/a
Sanity: Aiken's Artifact; Daniel Bernstein; n/a
Shogo: Mobile Armor Division; Daniel Bernstein; n/a
Tex Atomic's Big Bot Battles; Daniel Bernstein; n/a
Tron 2.0; Daniel Bernstein; n/a
The Matrix Online; Daniel Bernstein; n/a
Maabus; Daniel Bernstein; n/a
Rage of Mages; Daniel Bernstein; n/a
Gorky 17; Daniel Bernstein; n/a
Septerra Core; Daniel Bernstein; n/a
Priest; Daniel Bernstein; n/a
Betrayer; Daniel Bernstein; n/a
Airborne Avenger; Dan Forden; 1963-09-28
Superman; Dan Forden; 1963-09-28
Flash; Dan Forden; 1963-09-28
Stellar Wars; Dan Forden; 1963-09-28
Firepower; Dan Forden; 1963-09-28
Black Knight; Dan Forden; 1963-09-28
Hyperball; Dan Forden; 1963-09-28
High Speed; Dan Forden; 1963-09-28
F-14 Tomcat; Dan Forden; 1963-09-28
Black Knight 2000; Dan Forden; 1963-09-28
RollerGames; Dan Forden; 1963-09-28
Terminator 2: Judgment Day; Dan Forden; 1963-09-28
The Getaway: High Speed II; Dan Forden; 1963-09-28
Star Trek: The Next Generation; Dan Forden; 1963-09-28
No Fear: Dangerous Sports; Dan Forden; 1963-09-28
Terminator 3: Rise of the Machines; Dan Forden; 1963-09-28
Elvis; Dan Forden; 1963-09-28
World Poker Tour; Dan Forden; 1963-09-28
Spider-Man; Dan Forden; 1963-09-28
Disruptor; David Bergeaud; n/a
Running Wild; David Bergeaud; n/a
Ratchet & Clank; David Bergeaud; n/a
Ratchet & Clank: Going Commando; David Bergeaud; n/a
Ratchet & Clank: Up Your Arsenal; David Bergeaud; n/a
Ratchet: Deadlocked; David Bergeaud; n/a
Resistance: Fall of Man; David Bergeaud; n/a
Ratchet & Clank: Size Matters; David Bergeaud; n/a
Ratchet & Clank Future: Tools of Destruction; David Bergeaud; n/a
Secret Agent Clank; David Bergeaud; n/a
Ratchet & Clank Future: Quest for Booty; David Bergeaud; n/a
Medieval Moves: Deadmund's Quest; David Bergeaud; n/a
PlayStation Move Heroes; David Bergeaud; n/a
Sports Champions 2; David Bergeaud; n/a
WARMACHINE: Tactics; David Bergeaud; n/a
Savage Harbor; David Bergeaud; n/a
The Unnamable; David Bergeaud; n/a
Twice Dead; David Bergeaud; n/a
Street Soldiers; David Bergeaud; n/a
The Unnamable II: The Statement of Randolph Carter; David Bergeaud; n/a
College Kickboxers; David Bergeaud; n/a
Vanishing Son; David Bergeaud; n/a
Midnight Run for Your Life; David Bergeaud; n/a
Another Midnight Run; David Bergeaud; n/a
Donor Unknown; David Bergeaud; n/a
Kinda Cute for a White Boy...; David Bergeaud; n/a
Psycho Sushi; David Bergeaud; n/a
Prince Valiant; David Bergeaud; n/a
Sins of the Mind; David Bergeaud; n/a
On the 2nd Day of Christmas; David Bergeaud; n/a
Via Satellite; David Bergeaud; n/a
Mr. Headmistress; David Bergeaud; n/a
Wrongfully Accused; David Bergeaud; n/a
Brookfield; David Bergeaud; n/a
All You Need; David Bergeaud; n/a
The Badge; David Bergeaud; n/a
Hangman's Curse; David Bergeaud; n/a
Set Point; David Bergeaud; n/a
Anonymous Rex; David Bergeaud; n/a
Dame sobh; David Bergeaud; n/a
Thr3e; David Bergeaud; n/a
The Visitation; David Bergeaud; n/a
Will-Endowed; David Bergeaud; n/a
Iranian Chronicles; David Bergeaud; n/a
Earth 2; David Bergeaud; n/a
The Outer Limits; David Bergeaud; n/a
C-16: FBI; David Bergeaud; n/a
FreakyLinks; David Bergeaud; n/a
Secret Agent Man; David Bergeaud; n/a
Strong Medicine; David Bergeaud; n/a
Tales from the Neverending Story; David Bergeaud; n/a
FreakyLinks; David Bergeaud; n/a
The D.A.; David Bergeaud; n/a
Bollywood Hero; David Bergeaud; n/a
Aileen Wuornos: The Selling of a Serial Killer; David Bergeaud; n/a
Tracking Down Maggie; David Bergeaud; n/a
Heidi Fleiss: Hollywood Madam; David Bergeaud; n/a
Kurt & Courtney; David Bergeaud; n/a
The Spider Wrangler: The Spiders of Hangman's Curse; David Bergeaud; n/a
Frank Peretti: From Page to Screen; David Bergeaud; n/a
The Glass House; David Bergeaud; n/a
American Coup; David Bergeaud; n/a
Doubles; Elia Cmíral; n/a
Any Day; Elia Cmíral; n/a
Atlas Shrugged Part III: Who Is John Galt?; Elia Cmíral; n/a
Cam2Cam; Elia Cmíral; n/a
Piranha 3DD; Elia Cmíral; n/a
Atlas Shrugged: Part I; Elia Cmíral; n/a
Lost Boys: The Thirst; Elia Cmíral; n/a
Pulse 3: Invasion; Elia Cmíral; n/a
Pulse 2: Afterlife; Elia Cmíral; n/a
The Deaths of Ian Stone; Elia Cmíral; n/a
The Cutter; Elia Cmíral; n/a
The Mechanik; Elia Cmíral; n/a
Iowa; Elia Cmíral; n/a
Wrong Turn; Elia Cmíral; n/a
The Wishing Tree; Elia Cmíral; n/a
Ronin; Elia Cmíral; n/a
Somebody Is Waiting; Elia Cmíral; n/a
The Way Through Hell; Elia Cmíral; n/a
(Sökarna); Elia Cmíral; n/a
Apartment Zero; Elia Cmíral; n/a
En hundsaga; Elia Cmíral; n/a
A Matter of Life and Death; Elia Cmíral; n/a
Lacrimosa; Elia Cmíral; n/a
Call Me Bill; Elia Cmíral; n/a
Son of Satan; Elia Cmíral; n/a
Eliza Dushku: Babe in the Woods; Elia Cmíral; n/a
Fresh Meat: The Wounds of 'Wrong Turn'; Elia Cmíral; n/a
Stan Winston: Monster Mogul; Elia Cmíral; n/a
Diggin' Up 'Bones'; Elia Cmíral; n/a
The Decadent Visitor; Elia Cmíral; n/a
Prophecies; Elia Cmíral; n/a
Visions of America; Elia Cmíral; n/a
Babies for Babies; Elia Cmíral; n/a
Sunsets by Candlelight; Elia Cmíral; n/a
Alfred Jarry - Superfreak; Elia Cmíral; n/a
While the Children Sleep; Elia Cmíral; n/a
The Reading Room; Elia Cmíral; n/a
Species III; Elia Cmíral; n/a
Nash Bridges; Elia Cmíral; n/a
Macklean; Elia Cmíral; n/a
Rosenholm; Elia Cmíral; n/a
Barnens Detektivbyrå; Elia Cmíral; n/a
Kopplingen; Elia Cmíral; n/a
Flickan vid stenbänken; Elia Cmíral; n/a
Spec Ops: The Line; Elia Cmíral; n/a
The Last Express; Elia Cmíral; n/a
DK Jamz; Eveline Fischer; n/a
Eye of the Beholder II; Frank Klepacki; n/a
Dune II; Frank Klepacki; n/a
Dungeons & Dragons: Warriors of the Eternal Sun; Frank Klepacki; n/a
Order of the Griffon; Frank Klepacki; n/a
DragonStrike; Frank Klepacki; n/a
The Legend of Kyrandia: Fables and Fiends; Frank Klepacki; n/a
Lands of Lore; Frank Klepacki; n/a
The Legend of Kyrandia: Hand of Fate; Frank Klepacki; n/a
Disney's The Lion King (SNES); Frank Klepacki; n/a
The Legend of Kyrandia: Malcolm's Revenge; Frank Klepacki; n/a
Young Merlin; Frank Klepacki; n/a
Command & Conquer; Frank Klepacki; n/a
Parker Brother's Monopoly; Frank Klepacki; n/a
Command & Conquer: The Covert Operations; Frank Klepacki; n/a
Command & Conquer: Red Alert; Frank Klepacki; n/a
Command & Conquer: Red Alert: Counterstrike; Frank Klepacki; n/a
Command & Conquer: Red Alert: Aftermath; Frank Klepacki; n/a
Lands of Lore 2; Frank Klepacki; n/a
Blade Runner; Frank Klepacki; n/a
Command & Conquer: Red Alert: Retaliation; Frank Klepacki; n/a
Command & Conquer: Sole Survivor; Frank Klepacki; n/a
Dune 2000; Frank Klepacki; n/a
Command & Conquer: Tiberian Sun; Frank Klepacki; n/a
Lands of Lore 3; Frank Klepacki; n/a
Command & Conquer: Tiberian Sun: Firestorm; Frank Klepacki; n/a
Command & Conquer: Red Alert 2; Frank Klepacki; n/a
Nox; Frank Klepacki; n/a
Command & Conquer: Red Alert 2: Yuri's Revenge; Frank Klepacki; n/a
Emperor: Battle for Dune; Frank Klepacki; n/a
Pirates: The Legend of Black Kat; Frank Klepacki; n/a
Command & Conquer: Renegade; Frank Klepacki; n/a
Earth & Beyond; Frank Klepacki; n/a
Star Wars: Empire at War; Frank Klepacki; n/a
Star Wars: Empire at War: Forces of Corruption; Frank Klepacki; n/a
Universe at War: Earth Assault; Frank Klepacki; n/a
Command & Conquer: Red Alert 3; Frank Klepacki; n/a
Command & Conquer: Red Alert 3: Uprising; Frank Klepacki; n/a
Panzer General: Allied Assault; Frank Klepacki; n/a
Guardians of Graxia; Frank Klepacki; n/a
Mytheon; Frank Klepacki; n/a
Rise of Immortals; Frank Klepacki; n/a
Battle for Graxia; Frank Klepacki; n/a
Coin a Phrase; Frank Klepacki; n/a
End of Nations; Frank Klepacki; n/a
Grey Goo; Frank Klepacki; n/a
8-Bit Armies; Frank Klepacki; n/a
8-Bit Hordes; Frank Klepacki; n/a
8-Bit Invaders!; Frank Klepacki; n/a
There's a Home; Frank Klepacki; n/a
Mmm, Mmm, Mmm,; Frank Klepacki; n/a
Home Cookin'; Frank Klepacki; n/a
Unreel Invasion; Frank Klepacki; n/a
Pink in the Middle; Frank Klepacki; n/a
Essence of the Force; Frank Klepacki; n/a
Morphscape; Frank Klepacki; n/a
Rocktronic; Frank Klepacki; n/a
Virtual Control; Frank Klepacki; n/a
The Bitters; Frank Klepacki; n/a
Awakening of Aggression; Frank Klepacki; n/a
Grudgement Day; Frank Klepacki; n/a
Infiltrator; Frank Klepacki; n/a
Viratia; Frank Klepacki; n/a
Conquering 20 Years; Frank Klepacki; n/a
Digital Frontiers; Frank Klepacki; n/a
Game On!; Frank Klepacki; n/a
MTV; Frank Klepacki; n/a
Cupid; Frank Klepacki; n/a
abc; Frank Klepacki; n/a
Miller Genuine Draft; Frank Klepacki; n/a
Ultimate Fighting Championship Pay-per view; Frank Klepacki; n/a
The Ultimate Fighter; Frank Klepacki; n/a
Ultimate Fight Night; Frank Klepacki; n/a
Amp'd Mobile; Frank Klepacki; n/a
Inside the MMA; Frank Klepacki; n/a
HDNet Fights; Frank Klepacki; n/a
Tiberian Sun; Frank Klepacki; n/a
Renegade; Frank Klepacki; n/a
3: Tiberium Wars; Frank Klepacki; n/a
Kane's Wrath; Frank Klepacki; n/a
4: Tiberian Twilight; Frank Klepacki; n/a
Tiberium Alliances; Frank Klepacki; n/a
Red Alert; Frank Klepacki; n/a
Red Alert 2; Frank Klepacki; n/a
Yuri's Revenge; Frank Klepacki; n/a
Red Alert 3; Frank Klepacki; n/a
Uprising; Frank Klepacki; n/a
Generals; Frank Klepacki; n/a
Zero Hour; Frank Klepacki; n/a
The First Decade; Frank Klepacki; n/a
Renegade X; Frank Klepacki; n/a
Rivals; Frank Klepacki; n/a
Al-Qadim; Frank Klepacki; n/a
Birthright; Frank Klepacki; n/a
Blackmoor; Frank Klepacki; n/a
Council of Wyrms; Frank Klepacki; n/a
Dark Sun; Frank Klepacki; n/a
Dragonlance; Frank Klepacki; n/a
Eberron; Frank Klepacki; n/a
Forgotten Realms; Frank Klepacki; n/a
Ghostwalk; Frank Klepacki; n/a
Greyhawk; Frank Klepacki; n/a
Hollow World; Frank Klepacki; n/a
Kara-Tur; Frank Klepacki; n/a
Kingdoms of Kalamar; Frank Klepacki; n/a
Mystara; Frank Klepacki; n/a
Nentir Vale; Frank Klepacki; n/a
Pelinore; Frank Klepacki; n/a
Planescape; Frank Klepacki; n/a
Ravenloft; Frank Klepacki; n/a
Ravnica; Frank Klepacki; n/a
Rokugan; Frank Klepacki; n/a
Savage Coast; Frank Klepacki; n/a
Spelljammer; Frank Klepacki; n/a
Thunder Rift; Frank Klepacki; n/a
Player's Handbook; Frank Klepacki; n/a
Dungeon Master's Guide; Frank Klepacki; n/a
Monster Manual; Frank Klepacki; n/a
Arms and Equipment Guide; Frank Klepacki; n/a
Battlesystem; Frank Klepacki; n/a
Book of Exalted Deeds; Frank Klepacki; n/a
Book of Vile Darkness; Frank Klepacki; n/a
Deities & Demigods; Frank Klepacki; n/a
Draconomicon; Frank Klepacki; n/a
Dungeon Master Option: High-Level Campaigns; Frank Klepacki; n/a
Fiend Folio; Frank Klepacki; n/a
Forgotten Realms Campaign Setting; Frank Klepacki; n/a
Libris Mortis; Frank Klepacki; n/a
Manual of the Planes; Frank Klepacki; n/a
Player's Option: Combat & Tactics; Frank Klepacki; n/a
Player's Option: Skills & Powers; Frank Klepacki; n/a
Player's Option: Spells & Magic; Frank Klepacki; n/a
Psionics Handbook; Frank Klepacki; n/a
D&D; Frank Klepacki; n/a
Expanded; Frank Klepacki; n/a
Complete; Frank Klepacki; n/a
Unearthed Arcana; Frank Klepacki; n/a
Wrath of the Immortals; Frank Klepacki; n/a
Dragon; Frank Klepacki; n/a
Dungeon; Frank Klepacki; n/a
Imagine; Frank Klepacki; n/a
Living Greyhawk Journal; Frank Klepacki; n/a
Polyhedron; Frank Klepacki; n/a
List of Eberron modules and sourcebooks; Frank Klepacki; n/a
Against the Giants; Frank Klepacki; n/a
Dead Gods; Frank Klepacki; n/a
Desert of Desolation; Frank Klepacki; n/a
Dragonlance; Frank Klepacki; n/a
Expedition to the Barrier Peaks; Frank Klepacki; n/a
The Gates of Firestorm Peak; Frank Klepacki; n/a
The Isle of Dread; Frank Klepacki; n/a
The Keep on the Borderlands; Frank Klepacki; n/a
The Lost Caverns of Tsojcanth; Frank Klepacki; n/a
Queen of the Spiders; Frank Klepacki; n/a
Ravenloft; Frank Klepacki; n/a
Red Hand of Doom; Frank Klepacki; n/a
The Ruins of Undermountain; Frank Klepacki; n/a
The Temple of Elemental Evil; Frank Klepacki; n/a
Tomb of Horrors; Frank Klepacki; n/a
White Plume Mountain; Frank Klepacki; n/a
D&D Beyond; Frank Klepacki; n/a
Roll20; Frank Klepacki; n/a
Fantasy Grounds; Frank Klepacki; n/a
OrcPub; Frank Klepacki; n/a
D20PRO; Frank Klepacki; n/a
D&D Computer Labyrinth Game; Frank Klepacki; n/a
D&D Computer Fantasy Game; Frank Klepacki; n/a
AD&D: Cloudy Mountain; Frank Klepacki; n/a
AD&D: Treasure of Tarmin; Frank Klepacki; n/a
Baldur's Gate; Frank Klepacki; n/a
Tales of the Sword Coast; Frank Klepacki; n/a
Enhanced Edition; Frank Klepacki; n/a
Siege of Dragonspear; Frank Klepacki; n/a
Baldur's Gate II: Shadows of Amn; Frank Klepacki; n/a
Throne of Bhaal; Frank Klepacki; n/a
Enhanced Edition; Frank Klepacki; n/a
Baldur's Gate III; Frank Klepacki; n/a
Baldur's Gate: Dark Alliance; Frank Klepacki; n/a
Baldur's Gate: Dark Alliance II; Frank Klepacki; n/a
Icewind Dale; Frank Klepacki; n/a
Heart of Winter; Frank Klepacki; n/a
Trials of the Luremaster; Frank Klepacki; n/a
Icewind Dale: Enhanced Edition; Frank Klepacki; n/a
Icewind Dale II; Frank Klepacki; n/a
Neverwinter Nights; Frank Klepacki; n/a
Shadows of Undrentide; Frank Klepacki; n/a
Hordes of the Underdark; Frank Klepacki; n/a
Kingmaker; Frank Klepacki; n/a
Darkness over Daggerford; Frank Klepacki; n/a
Neverwinter Nights 2; Frank Klepacki; n/a
Mask of the Betrayer; Frank Klepacki; n/a
Storm of Zehir; Frank Klepacki; n/a
Mysteries of Westgate; Frank Klepacki; n/a
Pool of Radiance; Frank Klepacki; n/a
Curse of the Azure Bonds; Frank Klepacki; n/a
Secret of the Silver Blades; Frank Klepacki; n/a
Pools of Darkness; Frank Klepacki; n/a
Ruins of Myth Drannor; Frank Klepacki; n/a
Gateway to the Savage Frontier; Frank Klepacki; n/a
Neverwinter Nights; Frank Klepacki; n/a
Treasures of the Savage Frontier; Frank Klepacki; n/a
Birthright: The Gorgon's Alliance; Frank Klepacki; n/a
Dark Sun: Shattered Lands; Frank Klepacki; n/a
Dark Sun: Wake of the Ravager; Frank Klepacki; n/a
Dark Sun Online: Crimson Sands; Frank Klepacki; n/a
Heroes of the Lance; Frank Klepacki; n/a
Dragons of Flame; Frank Klepacki; n/a
War of the Lance; Frank Klepacki; n/a
DragonStrike; Frank Klepacki; n/a
Shadow Sorcerer; Frank Klepacki; n/a
Champions of Krynn; Frank Klepacki; n/a
Death Knights of Krynn; Frank Klepacki; n/a
The Dark Queen of Krynn; Frank Klepacki; n/a
D&D: Dragonshard; Frank Klepacki; n/a
D&D Online: Stormreach; Frank Klepacki; n/a
Hillsfar; Frank Klepacki; n/a
Eye of the Beholder; Frank Klepacki; n/a
Eye of the Beholder II: The Legend of Darkmoon; Frank Klepacki; n/a
Eye of the Beholder III: Assault on Myth Drannor; Frank Klepacki; n/a
Dungeon Hack; Frank Klepacki; n/a
Unlimited Adventures; Frank Klepacki; n/a
Menzoberranzan; Frank Klepacki; n/a
Blood & Magic; Frank Klepacki; n/a
Descent to Undermountain; Frank Klepacki; n/a
Demon Stone; Frank Klepacki; n/a
Daggerdale; Frank Klepacki; n/a
Neverwinter; Frank Klepacki; n/a
Lords of Waterdeep; Frank Klepacki; n/a
Sword Coast Legends; Frank Klepacki; n/a
Order of the Griffon; Frank Klepacki; n/a
Warriors of the Eternal Sun; Frank Klepacki; n/a
Fantasy Empires; Frank Klepacki; n/a
Tower of Doom; Frank Klepacki; n/a
Shadow over Mystara; Frank Klepacki; n/a
Collection; Frank Klepacki; n/a
Chronicles of Mystara; Frank Klepacki; n/a
The Temple of Elemental Evil; Frank Klepacki; n/a
Planescape: Torment; Frank Klepacki; n/a
Spelljammer: Pirates of Realmspace; Frank Klepacki; n/a
Ravenloft: Strahd's Possession; Frank Klepacki; n/a
Ravenloft: Stone Prophet; Frank Klepacki; n/a
Iron & Blood: Warriors of Ravenloft; Frank Klepacki; n/a
D&D: Stronghold; Frank Klepacki; n/a
AD&D: Slayer; Frank Klepacki; n/a
DeathKeep; Frank Klepacki; n/a
Al-Qadim: The Genie's Curse; Frank Klepacki; n/a
D&D: Heroes; Frank Klepacki; n/a
D&D: Tactics; Frank Klepacki; n/a
The Crescent Hawk's Inception; Frank Klepacki; n/a
The Crescent Hawk's Revenge; Frank Klepacki; n/a
Command & Conquer; Frank Klepacki; n/a
Red Alert; Frank Klepacki; n/a
Tiberian Sun; Frank Klepacki; n/a
Red Alert 2; Frank Klepacki; n/a
Yuri's Revenge; Frank Klepacki; n/a
Renegade; Frank Klepacki; n/a
Dune II; Frank Klepacki; n/a
Dune 2000; Frank Klepacki; n/a
Emperor: Battle for Dune; Frank Klepacki; n/a
Eye of the Beholder; Frank Klepacki; n/a
II: The Legend of Darkmoon; Frank Klepacki; n/a
The Throne of Chaos; Frank Klepacki; n/a
Guardians of Destiny; Frank Klepacki; n/a
III; Frank Klepacki; n/a
Fables and Fiends; Frank Klepacki; n/a
The Hand of Fate; Frank Klepacki; n/a
Malcolm's Revenge; Frank Klepacki; n/a
Roadwar 2000; Frank Klepacki; n/a
Mars Saga; Frank Klepacki; n/a
Questron II; Frank Klepacki; n/a
Mines of Titan; Frank Klepacki; n/a
Circuit's Edge; Frank Klepacki; n/a
Hillsfar; Frank Klepacki; n/a
DragonStrike; Frank Klepacki; n/a
Order of the Griffon; Frank Klepacki; n/a
Warriors of the Eternal Sun; Frank Klepacki; n/a
The Lion King; Frank Klepacki; n/a
Young Merlin; Frank Klepacki; n/a
Blade Runner; Frank Klepacki; n/a
Monopoly; Frank Klepacki; n/a
Golden Nugget 64; Frank Klepacki; n/a
Recoil; Frank Klepacki; n/a
Sports Car GT; Frank Klepacki; n/a
Nox; Frank Klepacki; n/a
Pirates: The Legend of Black Kat; Frank Klepacki; n/a
Earth & Beyond; Frank Klepacki; n/a
Magnum, P.I.; Garry Schyman; n/a
Father Murphy; Garry Schyman; n/a
The Greatest American Hero; Garry Schyman; n/a
Tales of the Gold Monkey; Garry Schyman; n/a
This Is the Life; Garry Schyman; n/a
The A-Team; Garry Schyman; n/a
Yeshua; Garry Schyman; n/a
Rags to Riches; Garry Schyman; n/a
The Great Gondoli ; Garry Schyman; n/a
Buck James; Garry Schyman; n/a
Assassin; Garry Schyman; n/a
The First Valentine; Garry Schyman; n/a
Waiting for the Wind; Garry Schyman; n/a
Treasure of Lost Creek; Garry Schyman; n/a
Revenge of the Nerds III: The Next Generation; Garry Schyman; n/a
Trade Winds; Garry Schyman; n/a
Day of Reckoning; Garry Schyman; n/a
Revenge of the Nerds IV: Nerds in Love; Garry Schyman; n/a
Mortal Fear; Garry Schyman; n/a
Land's End; Garry Schyman; n/a
Deadly Invasion: The Killer Bee Nightmare; Garry Schyman; n/a
Virus; Garry Schyman; n/a
Terminal; Garry Schyman; n/a
Tornado!; Garry Schyman; n/a
NightScream; Garry Schyman; n/a
The Napoleon Murder Mystery; Garry Schyman; n/a
Ringling Bros. Revealed: The Greatest Show on Earth; Garry Schyman; n/a
Never Too Young to Die; Garry Schyman; n/a
Penitentiary III; Garry Schyman; n/a
The Magic Boy's Easter; Garry Schyman; n/a
Hit List; Garry Schyman; n/a
Horseplayer; Garry Schyman; n/a
The Last Hour; Garry Schyman; n/a
Judgement; Garry Schyman; n/a
Lost In Africa; Garry Schyman; n/a
Spooky House; Garry Schyman; n/a
Race for the Poles; Garry Schyman; n/a
Brush with Danger; Garry Schyman; n/a
Itsy Bitsy; Garry Schyman; n/a
Voyeur; Garry Schyman; n/a
Off-World Interceptor; Garry Schyman; n/a
Voyeur II; Garry Schyman; n/a
Destroy All Humans!; Garry Schyman; n/a
Full Spectrum Warrior: Ten Hammers; Garry Schyman; n/a
Destroy All Humans! 2; Garry Schyman; n/a
BioShock; Garry Schyman; n/a
Destroy All Humans! Path of the Furon; Garry Schyman; n/a
Resistance: Retribution; Garry Schyman; n/a
Dante's Inferno; Garry Schyman; n/a
BioShock 2; Garry Schyman; n/a
Front Mission Evolved; Garry Schyman; n/a
The Bureau: XCOM Declassified; Garry Schyman; n/a
BioShock Infinite; Garry Schyman; n/a
BioShock Infinite: Burial at Sea; Garry Schyman; n/a
Middle-earth: Shadow of Mordor; Garry Schyman; n/a
Middle-earth: Shadow of War; Garry Schyman; n/a
Torn; Garry Schyman; n/a
Hammer Champ; Go Shiina; 1974-05-16
World Stadium; Go Shiina; 1974-05-16
 98 EX; Go Shiina; 1974-05-16
Ace Combat 3: Electrosphere; Go Shiina; 1974-05-16
Quick & Crash; Go Shiina; 1974-05-16
Mr. Driller; Go Shiina; 1974-05-16
Mr. Driller 2; Go Shiina; 1974-05-16
Klonoa 2: Lunatea's Veil; Go Shiina; 1974-05-16
Mr. Driller G; Go Shiina; 1974-05-16
Kotoba no Puzzle: Mojipittan; Go Shiina; 1974-05-16
Taiko no Tatsujin 3; Go Shiina; 1974-05-16
Mr. Driller: Drill Land; Go Shiina; 1974-05-16
MotoGP 3; Go Shiina; 1974-05-16
Taiko no Tatsujin: Appare Sandaime; Go Shiina; 1974-05-16
Tekken 5; Go Shiina; 1974-05-16
The Idolmaster; Go Shiina; 1974-05-16
Tales of Legendia; Go Shiina; 1974-05-16
Tekken: Dark Resurrection; Go Shiina; 1974-05-16
Tales of the World: Radiant Mythology; Go Shiina; 1974-05-16
Pro Baseball Nechu Star 2006; Go Shiina; 1974-05-16
Kyou Kara Maoh! - Hajimari no Tabi; Go Shiina; 1974-05-16
Tales of Fandom Vol.2; Go Shiina; 1974-05-16
Tekken 6; Go Shiina; 1974-05-16
Taiko no Tatsujin 11; Go Shiina; 1974-05-16
Mr. Driller Online; Go Shiina; 1974-05-16
Tales of the World: Radiant Mythology 2; Go Shiina; 1974-05-16
Tales of VS.; Go Shiina; 1974-05-16
The Idolmaster Dearly Stars; Go Shiina; 1974-05-16
God Eater; Go Shiina; 1974-05-16
Ace Combat: Joint Assault; Go Shiina; 1974-05-16
Gods Eater Burst; Go Shiina; 1974-05-16
Tales of the World: Radiant Mythology 3; Go Shiina; 1974-05-16
Tekken Tag Tournament 2; Go Shiina; 1974-05-16
Ace Combat 3D: Assault Horizon Legacy; Go Shiina; 1974-05-16
Tales of the Heroes: Twin Brave; Go Shiina; 1974-05-16
Tales of the World: Tactics Union; Go Shiina; 1974-05-16
God Eater 2; Go Shiina; 1974-05-16
Golden Time: Vivid Memories; Go Shiina; 1974-05-16
The Idolmaster One For All; Go Shiina; 1974-05-16
Tales of the World: Reve Unitia; Go Shiina; 1974-05-16
God Eater 2: Rage Burst; Go Shiina; 1974-05-16
Tales of Zestiria; Go Shiina; 1974-05-16
God Eater Resurrection; Go Shiina; 1974-05-16
Tales of the Rays; Go Shiina; 1974-05-16
Tekken 7; Go Shiina; 1974-05-16
: Fated Retribution; Go Shiina; 1974-05-16
LayereD Stories 0; Go Shiina; 1974-05-16
The Idolmaster Stella Stage; Go Shiina; 1974-05-16
God Eater Resonant Ops; Go Shiina; 1974-05-16
God Eater 3; Go Shiina; 1974-05-16
Sound Voltex; Go Shiina; 1974-05-16
 Vivid Wave; Go Shiina; 1974-05-16
Yume Utsutsu Re:Master; Go Shiina; 1974-05-16
Code Vein; Go Shiina; 1974-05-16
Various Daylife; Go Shiina; 1974-05-16
Sakura no Ondo; Go Shiina; 1974-05-16
The Idolmaster; Go Shiina; 1974-05-16
Gyo: Tokyo Fish Attack; Go Shiina; 1974-05-16
Kyōsōgiga; Go Shiina; 1974-05-16
Majocco Shimai no Yoyo to Nene; Go Shiina; 1974-05-16
