Soundtrack;Composer;Composer Birthday
Dragon's Crown;Hitoshi Sakimoto;1969-02-26
The Denpa Men 3: The Rise Of Digitoll;Hitoshi Sakimoto;1969-02-26
The Denpa Men Free!;Hitoshi Sakimoto;1969-02-26
Age Of Ishtaria;Hitoshi Sakimoto;1969-02-26
Terra Battle;Hitoshi Sakimoto;1969-02-26
Battle Champs;Hitoshi Sakimoto;1969-02-26
The World End Eclipse;Hitoshi Sakimoto;1969-02-26
Chaos Dragon;Hitoshi Sakimoto;1969-02-26
Zodiac: Orcanon Odyssey;Hitoshi Sakimoto;1969-02-26
Odin Sphere Leifthrasir;Hitoshi Sakimoto;1969-02-26
Tiger Knight;Hitoshi Sakimoto;1969-02-26
Valiant Force;Hitoshi Sakimoto;1969-02-26
Final Fantasy Xii: The Zodiac Age;Hitoshi Sakimoto;1969-02-26
Shinnazuki;Hitoshi Sakimoto;1969-02-26
Valkyria Chronicles 4;Hitoshi Sakimoto;1969-02-26
Tales Of Demons And Gods;Hitoshi Sakimoto;1969-02-26
Project Babel;Hitoshi Sakimoto;1969-02-26
13 Sentinels: Aegis Rim;Hitoshi Sakimoto;1969-02-26
Unsung Story;Hitoshi Sakimoto;1969-02-26
Mcmxci;Hitoshi Sakimoto;1969-02-26
Mystery Case In Hi! School!;Hitoshi Sakimoto;1969-02-26
Be Filled With Feeling;Hitoshi Sakimoto;1969-02-26
Great Wall;Hitoshi Sakimoto;1969-02-26
G.T.R;Hitoshi Sakimoto;1969-02-26
T.O.U.R.S;Hitoshi Sakimoto;1969-02-26
Ten Plants;Hitoshi Sakimoto;1969-02-26
2197;Hitoshi Sakimoto;1969-02-26
Artepizza.Com;Hitoshi Sakimoto;1969-02-26
Colors Of Life;Hitoshi Sakimoto;1969-02-26
Legend Of Phoenix ~layla Hamilton Monogatari~;Hitoshi Sakimoto;1969-02-26
Romeo X Juliet;Hitoshi Sakimoto;1969-02-26
Colors;Hitoshi Sakimoto;1969-02-26
The Tower Of Druaga: The Aegis Of Uruk;Hitoshi Sakimoto;1969-02-26
The Tower Of Druaga: The Sword Of Uruk;Hitoshi Sakimoto;1969-02-26
Iron Vendetta;Hitoshi Sakimoto;1969-02-26
Oto Gift;Hitoshi Sakimoto;1969-02-26
Tekken: Blood Vengeance;Hitoshi Sakimoto;1969-02-26
Red Dragon;Hitoshi Sakimoto;1969-02-26
The Legend Artists Otakara Hakken!;Hitoshi Sakimoto;1969-02-26
Chaos Dragon;Hitoshi Sakimoto;1969-02-26
Jimmy Hollywood;Howard Drossin;1970-10-02
The Item;Howard Drossin;1970-10-02
The Theory Of The Leisure Class;Howard Drossin;1970-10-02
Jane Bond;Howard Drossin;1970-10-02
25th Hour;Howard Drossin;1970-10-02
What Boys Like;Howard Drossin;1970-10-02
Unleashed;Howard Drossin;1970-10-02
Blade: Trinity;Howard Drossin;1970-10-02
Tom-yum-goong;Howard Drossin;1970-10-02
The Protector;Howard Drossin;1970-10-02
Akeelah And The Bee;Howard Drossin;1970-10-02
Inside Man;Howard Drossin;1970-10-02
Waist Deep;Howard Drossin;1970-10-02
Talk To Me;Howard Drossin;1970-10-02
Miracle At St. Anna;Howard Drossin;1970-10-02
Cadillac Records;Howard Drossin;1970-10-02
Sidewalk;Howard Drossin;1970-10-02
Marvel One-shot: A Funny Thing Happened On The Way To Thor's Hammer;Howard Drossin;1970-10-02
Marvel One-shot: The Consultant;Howard Drossin;1970-10-02
Red Tails;Howard Drossin;1970-10-02
The Man With The Iron Fists;Howard Drossin;1970-10-02
The Man With The Iron Fists 2;Howard Drossin;1970-10-02
Wolf: True Life Adventure;Howard Drossin;1970-10-02
Sonic Spinball;Howard Drossin;1970-10-02
Sonic & Knuckles;Howard Drossin;1970-10-02
Comix Zone;Howard Drossin;1970-10-02
The Ooze;Howard Drossin;1970-10-02
Die Hard Arcade;Howard Drossin;1970-10-02
Sonic X-treme;Howard Drossin;1970-10-02
Dynamite Cop;Howard Drossin;1970-10-02
Vigilante 8;Howard Drossin;1970-10-02
Vigilante 8: Second Offense;Howard Drossin;1970-10-02
Baldur's Gate Ii: Throne Of Bhaal;Howard Drossin;1970-10-02
Alien Front Online;Howard Drossin;1970-10-02
Afro Samurai;Howard Drossin;1970-10-02
Sonic And The Black Knight;Howard Drossin;1970-10-02
Splatterhouse;Howard Drossin;1970-10-02
Press Start;Jake Kaufman;1981-04-03
Rampage (korkusuz);Jake Kaufman;1981-04-03
Ok K.O.! Let's Be Heroes;Jake Kaufman;1981-04-03
Mao Mao: Heroes Of Pure Heart;Jake Kaufman;1981-04-03
Fx;Jake Kaufman;1981-04-03
Fx 2.0;Jake Kaufman;1981-04-03
Fx3;Jake Kaufman;1981-04-03
Kwakfest;Jake Kaufman;1981-04-03
Kind Of Bloop;Jake Kaufman;1981-04-03
Fx4;Jake Kaufman;1981-04-03
Fx3 Remastered;Jake Kaufman;1981-04-03
Balance And Ruin;Jake Kaufman;1981-04-03
Final Fantasy Vi;Jake Kaufman;1981-04-03
Choice Nuggets;Jake Kaufman;1981-04-03
Power Overwhelming;Jake Kaufman;1981-04-03
Shantae;Jake Kaufman;1981-04-03
Risky's Revenge;Jake Kaufman;1981-04-03
The Pirate's Curse;Jake Kaufman;1981-04-03
Half-genie Hero;Jake Kaufman;1981-04-03
The Seven Sirens;Jake Kaufman;1981-04-03
Warioware D.I.Y.;Jake Kaufman;1981-04-03
Mutant Mudds;Jake Kaufman;1981-04-03
Runbow;Jake Kaufman;1981-04-03
Hyper Light Drifter;Jake Kaufman;1981-04-03
Blaster Master Zero;Jake Kaufman;1981-04-03
Indivisible;Jake Kaufman;1981-04-03
Bit Players;James Dooley;1976-08-22
Agua Dulce;James Dooley;1976-08-22
Hannibal;James Dooley;1976-08-22
Area 52;James Dooley;1976-08-22
The Clayfather;James Dooley;1976-08-22
Papal Cab;James Dooley;1976-08-22
Untitled: 003-embryo;James Dooley;1976-08-22
The Ring;James Dooley;1976-08-22
Black Hawk Down;James Dooley;1976-08-22
Spirit: Stallion Of The Cimarron;James Dooley;1976-08-22
"Espn: ""citation";James Dooley;1976-08-22
"Espn: ""richard Flowers";James Dooley;1976-08-22
National Geographic Channel;James Dooley;1976-08-22
ascent;James Dooley;1976-08-22
National Geographic Channel;James Dooley;1976-08-22
Dean Kamen;James Dooley;1976-08-22
Something's Gotta Give;James Dooley;1976-08-22
Come Lovely;James Dooley;1976-08-22
Life After War;James Dooley;1976-08-22
Matchstick Men;James Dooley;1976-08-22
Pirates Of The Caribbean: The Curse Of The Black Pearl;James Dooley;1976-08-22
Things Fall Apart;James Dooley;1976-08-22
Tears Of The Sun;James Dooley;1976-08-22
Hbo Sports: Rebels Of Oakland;James Dooley;1976-08-22
Skin (tv Series);James Dooley;1976-08-22
"Espn: ""greatest Games";James Dooley;1976-08-22
"History Channel: ""louisiana Purchase";James Dooley;1976-08-22
Thunderbirds;James Dooley;1976-08-22
King Arthur;James Dooley;1976-08-22
Life On Liberty Street;James Dooley;1976-08-22
The Detective;James Dooley;1976-08-22
The Hollywood Mom's Mystery;James Dooley;1976-08-22
Dead To Rights Ii;James Dooley;1976-08-22
The Madagascar Penguins In A Christmas Caper;James Dooley;1976-08-22
Wallace & Gromit: The Curse Of The Were-rabbit;James Dooley;1976-08-22
Madagascar;James Dooley;1976-08-22
The Mars Underground;James Dooley;1976-08-22
The Contender;James Dooley;1976-08-22
Ordinary Miracles;James Dooley;1976-08-22
Socom 3: U.S. Navy Seals;James Dooley;1976-08-22
Socom: U.S. Navy Seals Fireteam Bravo;James Dooley;1976-08-22
Urmel Aus Dem Eis;James Dooley;1976-08-22
First Flight;James Dooley;1976-08-22
The Da Vinci Code;James Dooley;1976-08-22
When A Stranger Calls;James Dooley;1976-08-22
What About Brian;James Dooley;1976-08-22
Socom: U.S. Navy Seals Combined Assault;James Dooley;1976-08-22
Socom: U.S. Navy Seals Fireteam Bravo 2;James Dooley;1976-08-22
Bachelor Party 2: The Last Temptation;James Dooley;1976-08-22
Daddy Day Camp;James Dooley;1976-08-22
The Simpsons Movie;James Dooley;1976-08-22
The Simpsons Game;James Dooley;1976-08-22
Electroland;James Dooley;1976-08-22
Pirates Of The Caribbean: At World's End;James Dooley;1976-08-22
Pushing Daisies;James Dooley;1976-08-22
Def Jam: Icon;James Dooley;1976-08-22
Son Of Mourning;James Dooley;1976-08-22
Madagascar: Escape 2 Africa;James Dooley;1976-08-22
The Little Mermaid: Ariel's Beginning;James Dooley;1976-08-22
Urmel Aus Dem Eis 2;James Dooley;1976-08-22
The Simpsons Ride;James Dooley;1976-08-22
Twilight Trailer Music,'red Mist';James Dooley;1976-08-22
Obsessed;James Dooley;1976-08-22
Infamous;James Dooley;1976-08-22
Nerf N-strike;James Dooley;1976-08-22
Jak And Daxter: The Lost Frontier;James Dooley;1976-08-22
Epic Mickey;James Dooley;1976-08-22
Spider-man Shattered Dimensions;James Dooley;1976-08-22
Infamous 2;James Dooley;1976-08-22
Wilfred;James Dooley;1976-08-22
Epic Mickey 2: The Power Of Two;James Dooley;1976-08-22
Epic Mickey: Power Of Illusion;James Dooley;1976-08-22
The Last Ship;James Dooley;1976-08-22
Legends;James Dooley;1976-08-22
A Series Of Unfortunate Events;James Dooley;1976-08-22
Secret Obsession;James Dooley;1976-08-22
Obsessed;James Dooley;1976-08-22
Infamous;James Dooley;1976-08-22
Pushing Daisies;James Dooley;1976-08-22
Pigeon;James Dooley;1976-08-22
Alien Iii;James Hannigan;1971-07-23
Runescape: The Orchestral Collection;James Hannigan;1971-07-23
Super Smash Bros. Ultimate;James Hannigan;1971-07-23
Unseen Academicals;James Hannigan;1971-07-23
Alien: Sea Of Sorrows;James Hannigan;1971-07-23
Alien: River Of Pain;James Hannigan;1971-07-23
Alien: Out Of The Shadows;James Hannigan;1971-07-23
Dead Space 3;James Hannigan;1971-07-23
Terraria: Otherworld;James Hannigan;1971-07-23
Harry Potter And The Order Of The Phoenix;James Hannigan;1971-07-23
Super Smash Bros. Wii U;James Hannigan;1971-07-23
Transformers Universe;James Hannigan;1971-07-23
Neverwhere;James Hannigan;1971-07-23
Runescape;James Hannigan;1971-07-23
Good Omens;James Hannigan;1971-07-23
Harry Potter And The Deathly Hallows: Part 2;James Hannigan;1971-07-23
Harry Potter And The Deathly Hallows: Part 1;James Hannigan;1971-07-23
Command And Conquer: Red Alert 3;James Hannigan;1971-07-23
Command And Conquer 4: Tiberian Twilight;James Hannigan;1971-07-23
Harry Potter Audio Books;James Hannigan;1971-07-23
Primeval;James Hannigan;1971-07-23
Art Academy;James Hannigan;1971-07-23
The Lord Of The Rings: Aragorn's Quest;James Hannigan;1971-07-23
Freelancer;James Hannigan;1971-07-23
Harry Potter And The Half-blood Prince;James Hannigan;1971-07-23
Cloudy With A Chance Of Meatballs;James Hannigan;1971-07-23
Saints Row Iv;James Hannigan;1971-07-23
Evil Genius;James Hannigan;1971-07-23
Command And Conquer: Red Alert 3 Uprising;James Hannigan;1971-07-23
Command And Conquer: Red Alert 3 Commander's Challenge;James Hannigan;1971-07-23
Republic The Revolution;James Hannigan;1971-07-23
Conquest: Frontier Wars;James Hannigan;1971-07-23
Warhammer: Sothr;James Hannigan;1971-07-23
Nascar Thunder 2004;James Hannigan;1971-07-23
Nascar Racing 2002 Season;James Hannigan;1971-07-23
Nascar Thunder 2003;James Hannigan;1971-07-23
F1 2000;James Hannigan;1971-07-23
F1 Manager;James Hannigan;1971-07-23
Fifa 96;James Hannigan;1971-07-23
Fifa 98;James Hannigan;1971-07-23
Theme Park World (sim Theme Park In Us);James Hannigan;1971-07-23
Hasbro Family Game Night 3;James Hannigan;1971-07-23
Grand Prix 4;James Hannigan;1971-07-23
Brute Force;James Hannigan;1971-07-23
Catwoman;James Hannigan;1971-07-23
Reign Of Fire;James Hannigan;1971-07-23
Mr. Bean;James Hannigan;1971-07-23
Lost In Space (sound Design, New Line Cinema);James Hannigan;1971-07-23
Theme Park Inc. (simcoaster In Us);James Hannigan;1971-07-23
Warhammer: Dark Omen (electronic Arts, Sound Design);James Hannigan;1971-07-23
Action Man;James Hannigan;1971-07-23
Privateer: The Darkening;James Hannigan;1971-07-23
Fa Premier League Manager;James Hannigan;1971-07-23
Fifa Soccer Manager;James Hannigan;1971-07-23
Cutthroat Island;James Hannigan;1971-07-23
Short Cuts Series;James Hannigan;1971-07-23
Big Screen;James Hannigan;1971-07-23
Distorted Reality;James Hannigan;1971-07-23
Jetix;James Hannigan;1971-07-23
Flight Of The Amazon Queen;James Hannigan;1971-07-23
Yamaha Supercross;James Hannigan;1971-07-23
Atv Racing;James Hannigan;1971-07-23
Infestation;James Hannigan;1971-07-23
Moho;James Hannigan;1971-07-23
Ball Breakers;James Hannigan;1971-07-23
Beasts And Bumpkins;James Hannigan;1971-07-23
Gummy Bears Crazy Golf;James Hannigan;1971-07-23
Darklight Conflict;James Hannigan;1971-07-23
Space Hulk;James Hannigan;1971-07-23
The Bard's Tale;Jared Emerson-Johnson;1981-10-13
Bone: Out From Boneville;Jared Emerson-Johnson;1981-10-13
America's Army: Rise Of A Soldier;Jared Emerson-Johnson;1981-10-13
Bone: The Great Cow Race;Jared Emerson-Johnson;1981-10-13
Sam & Max Save The World;Jared Emerson-Johnson;1981-10-13
Alien Syndrome;Jared Emerson-Johnson;1981-10-13
Sam & Max Beyond Time And Space;Jared Emerson-Johnson;1981-10-13
Strong Bad's Cool Game For Attractive People;Jared Emerson-Johnson;1981-10-13
Wallace & Gromit's Grand Adventures;Jared Emerson-Johnson;1981-10-13
Sam & Max: The Devil's Playhouse;Jared Emerson-Johnson;1981-10-13
Nelson Tethers: Puzzle Agent;Jared Emerson-Johnson;1981-10-13
Poker Night At The Inventory;Jared Emerson-Johnson;1981-10-13
Back To The Future: The Game;Jared Emerson-Johnson;1981-10-13
Puzzle Agent 2;Jared Emerson-Johnson;1981-10-13
Jurassic Park: The Game;Jared Emerson-Johnson;1981-10-13
Double Fine Happy Action Theater;Jared Emerson-Johnson;1981-10-13
The Walking Dead (video Game);Jared Emerson-Johnson;1981-10-13
Poker Night 2;Jared Emerson-Johnson;1981-10-13
The Wolf Among Us;Jared Emerson-Johnson;1981-10-13
The Walking Dead: Season Two;Jared Emerson-Johnson;1981-10-13
Tales From The Borderlands;Jared Emerson-Johnson;1981-10-13
Game Of Thrones (video Game);Jared Emerson-Johnson;1981-10-13
The Walking Dead: Michonne;Jared Emerson-Johnson;1981-10-13
Batman: The Telltale Series;Jared Emerson-Johnson;1981-10-13
The Walking Dead: A New Frontier;Jared Emerson-Johnson;1981-10-13
Batman: The Enemy Within;Jared Emerson-Johnson;1981-10-13
Guardians Of The Galaxy: The Telltale Series;Jared Emerson-Johnson;1981-10-13
The Walking Dead: The Final Season;Jared Emerson-Johnson;1981-10-13
Mr. Lux At Your Service;Jared Emerson-Johnson;1981-10-13
Youtube Presents: The Birds And The Biz;Jared Emerson-Johnson;1981-10-13
Statistics Mean Nothing When You Are On The Wrong Plane;Jean-Marc Lederman;n/a
The Las Vegas Gold Rush;Jean-Marc Lederman;n/a
Temperamental;Jean-Marc Lederman;n/a
Temperamental  + Singles;Jean-Marc Lederman;n/a
10 Deadly Kisses;Jean-Marc Lederman;n/a
The Black Album;Jean-Marc Lederman;n/a
Beyond The Beyond;Jean-Marc Lederman;n/a
Global 851;Jean-Marc Lederman;n/a
Deeper;Jean-Marc Lederman;n/a
Embedded;Jean-Marc Lederman;n/a
This Is The Last Communique (?);Jean-Marc Lederman;n/a
Ultimate Poison;Jean-Marc Lederman;n/a
The Weathermen's Long Lost Instrumental Backing Tapes;Jean-Marc Lederman;n/a
Chatterton;Jean-Marc Lederman;n/a
Fantaisie Militaire;Jean-Marc Lederman;n/a
Vaporetto To Eden;Jean-Marc Lederman;n/a
Amoretto;Jean-Marc Lederman;n/a
Helleven;Jean-Marc Lederman;n/a
Swimming;Jean-Marc Lederman;n/a
Subtitles;Jean-Marc Lederman;n/a
Small Distortions;Jean-Marc Lederman;n/a
Fourplay;Jean-Marc Lederman;n/a
Shipwrecks;Jean-Marc Lederman;n/a
Red Flags;Jean-Marc Lederman;n/a
Romania;Jean-Marc Lederman;n/a
Atlantis;Jean-Marc Lederman;n/a
Fairies;Jean-Marc Lederman;n/a
Mystic Inn;Jean-Marc Lederman;n/a
Atlantis: Sky Patrol;Jean-Marc Lederman;n/a
Fever Frenzy;Jean-Marc Lederman;n/a
Turbogems;Jean-Marc Lederman;n/a
Theme From Sociotown;Jean-Marc Lederman;n/a
Forces Of Arms;Jean-Marc Lederman;n/a
Forts;Jeff van Dyck;n/a
Hand Of Fate 2;Jeff van Dyck;n/a
Submerged;Jeff van Dyck;n/a
Hand Of Fate;Jeff van Dyck;n/a
Alien: Isolation;Jeff van Dyck;n/a
Assault Android Cactus;Jeff van Dyck;n/a
Total War: Shogun 2: Fall Of The Samurai;Jeff van Dyck;n/a
Total War: Shogun 2;Jeff van Dyck;n/a
Rome: Total War;Jeff van Dyck;n/a
Barbarian Invasion;Jeff van Dyck;n/a
Alexander;Jeff van Dyck;n/a
Medieval: Total War;Jeff van Dyck;n/a
Viking Invasion;Jeff van Dyck;n/a
Medieval 2: Total War;Jeff van Dyck;n/a
Kingdoms;Jeff van Dyck;n/a
Shogun: Total War;Jeff van Dyck;n/a
Mongol Invasion;Jeff van Dyck;n/a
Spartan: Total Warrior;Jeff van Dyck;n/a
Emperor: Rise Of The Middle Kingdom;Jeff van Dyck;n/a
Tiger Woods Pga Tour 2004;Jeff van Dyck;n/a
The Need For Speed;Jeff van Dyck;n/a
Need For Speed Ii;Jeff van Dyck;n/a
Fifa Soccer;Jeff van Dyck;n/a
Nhl Hockey;Jeff van Dyck;n/a
Afl 99;Jeff van Dyck;n/a
Sled Storm;Jeff van Dyck;n/a
Skitchin';Jeff van Dyck;n/a
Shogun Total War: Warlord Edition;Jeff van Dyck;n/a
Rome: Total War;Jeff van Dyck;n/a
Secret Of Evermore;Jeremy Soule;1975-12-19
Freddi Fish & Luther's Maze Madness;Jeremy Soule;1975-12-19
Freddi Fish & Luther's Water Worries;Jeremy Soule;1975-12-19
Pajama Sam: No Need To Hide When It's Dark Outside;Jeremy Soule;1975-12-19
Putt-putt And Pep's Dog On A Stick;Jeremy Soule;1975-12-19
Putt-putt Travels Through Time;Jeremy Soule;1975-12-19
Total Annihilation;Jeremy Soule;1975-12-19
Pajama Sam's Sockworks;Jeremy Soule;1975-12-19
Young Dilbert Hi-tech Hijinks;Jeremy Soule;1975-12-19
"Spy Fox In ""dry Cereal";Jeremy Soule;1975-12-19
Total Annihilation: Core Contingency;Jeremy Soule;1975-12-19
Pajama Sam: Lost And Found;Jeremy Soule;1975-12-19
Spy Fox In Cheese Chase;Jeremy Soule;1975-12-19
Total Annihilation: Kingdoms;Jeremy Soule;1975-12-19
Icewind Dale;Jeremy Soule;1975-12-19
Giants: Citizen Kabuto;Jeremy Soule;1975-12-19
Rugrats: Totally Angelica Boredom Buster;Jeremy Soule;1975-12-19
Amen: The Awakening;Jeremy Soule;1975-12-19
Beauty And The Beast;Jeremy Soule;1975-12-19
Total Annihilation: Kingdoms- The Iron Plague;Jeremy Soule;1975-12-19
Rugrats In Paris: The Movie;Jeremy Soule;1975-12-19
Icewind Dale: Heart Of Winter;Jeremy Soule;1975-12-19
Azurik: Rise Of Perathia;Jeremy Soule;1975-12-19
Baldur's Gate: Dark Alliance;Jeremy Soule;1975-12-19
Final Four 2002;Jeremy Soule;1975-12-19
Harry Potter And The Philosopher's Stone;Jeremy Soule;1975-12-19
Harry Potter And The Chamber Of Secrets;Jeremy Soule;1975-12-19
Dungeon Siege;Jeremy Soule;1975-12-19
The Elder Scrolls Iii: Morrowind;Jeremy Soule;1975-12-19
Natural Selection;Jeremy Soule;1975-12-19
Magic School Bus Explores The World Of Animals;Jeremy Soule;1975-12-19
Neverwinter Nights;Jeremy Soule;1975-12-19
Socom: U.S. Navy Seals;Jeremy Soule;1975-12-19
Star Wars: Bounty Hunter;Jeremy Soule;1975-12-19
Everquest Online Adventures;Jeremy Soule;1975-12-19
Harry Potter: Quidditch World Cup;Jeremy Soule;1975-12-19
Sovereign;Jeremy Soule;1975-12-19
Star Wars: Knights Of The Old Republic;Jeremy Soule;1975-12-19
Unreal Ii;Jeremy Soule;1975-12-19
Dungeon Siege: Legends Of Aranna;Jeremy Soule;1975-12-19
Impossible Creatures;Jeremy Soule;1975-12-19
Armies Of Exigo;Jeremy Soule;1975-12-19
Harry Potter And The Prisoner Of Azkaban;Jeremy Soule;1975-12-19
Lemony Snicket's A Series Of Unfortunate Events;Jeremy Soule;1975-12-19
Warhammer 40,000: Dawn Of War;Jeremy Soule;1975-12-19
Kohan Ii: Kings Of War;Jeremy Soule;1975-12-19
Guild Wars Prophecies;Jeremy Soule;1975-12-19
Harry Potter And The Goblet Of Fire;Jeremy Soule;1975-12-19
Dungeon Siege Ii;Jeremy Soule;1975-12-19
Company Of Heroes;Jeremy Soule;1975-12-19
Company Of Heroes: Opposing Fronts;Jeremy Soule;1975-12-19
Company Of Heroes: Tales Of Valor;Jeremy Soule;1975-12-19
Warhammer: Mark Of Chaos;Jeremy Soule;1975-12-19
The Elder Scrolls Iv: Oblivion;Jeremy Soule;1975-12-19
Prey;Jeremy Soule;1975-12-19
Guild Wars Factions;Jeremy Soule;1975-12-19
Guild Wars Nightfall;Jeremy Soule;1975-12-19
Guild Wars: Eye Of The North;Jeremy Soule;1975-12-19
Supreme Commander;Jeremy Soule;1975-12-19
Supreme Commander: Forged Alliance;Jeremy Soule;1975-12-19
Il-2 Sturmovik: Birds Of Prey;Jeremy Soule;1975-12-19
Order Of War;Jeremy Soule;1975-12-19
Zomg!;Jeremy Soule;1975-12-19
Monster Galaxy;Jeremy Soule;1975-12-19
Metal Gear Solid: Peace Walker;Jeremy Soule;1975-12-19
Dead Rising 2;Jeremy Soule;1975-12-19
The Elder Scrolls V: Skyrim;Jeremy Soule;1975-12-19
Deep Black;Jeremy Soule;1975-12-19
Otomedius Excellent;Jeremy Soule;1975-12-19
The Elder Scrolls V: Skyrim - Dawnguard;Jeremy Soule;1975-12-19
Guild Wars 2;Jeremy Soule;1975-12-19
World Of Warcraft: Mists Of Pandaria;Jeremy Soule;1975-12-19
The Elder Scrolls V: Skyrim - Dragonborn;Jeremy Soule;1975-12-19
War Thunder;Jeremy Soule;1975-12-19
Dead Rising 3;Jeremy Soule;1975-12-19
Consortium;Jeremy Soule;1975-12-19
The Elder Scrolls Online;Jeremy Soule;1975-12-19
Dota 2;Jeremy Soule;1975-12-19
The Gallery: Call Of The Starseed;Jeremy Soule;1975-12-19
Landmark;Jeremy Soule;1975-12-19
Everquest Next;Jeremy Soule;1975-12-19
The Gallery: Heart Of The Emberstone;Jeremy Soule;1975-12-19
Consortium: The Tower;Jeremy Soule;1975-12-19
Journey Toward Creation;Jeremy Soule;1975-12-19
C.S. Lewis: Beyond Narnia;Jeremy Soule;1975-12-19
Beyond The Yellow Brick Road: The Making Of Tin Man;Jeremy Soule;1975-12-19
Florence Nightingale;Jeremy Soule;1975-12-19
The Offering;Jeremy Soule;1975-12-19
Dracula's Stoker;Jeremy Soule;1975-12-19
Witch Creek;Jeremy Soule;1975-12-19
Kjb - The Book That Changed The World;Jeremy Soule;1975-12-19
The Perfect Wave;Jeremy Soule;1975-12-19
Walk Of Fame;Jeremy Soule;1975-12-19
Ice On Fire;Jeremy Soule;1975-12-19
2003 Mtv Movie Awards;Jeremy Soule;1975-12-19
War For Peace;Jeremy Soule;1975-12-19
"The Burdens Of Shaohao: Prelude ""the Vision";Jeremy Soule;1975-12-19
Passion Is Everywhere;Jeremy Soule;1975-12-19
The Northerner Diaries;Jeremy Soule;1975-12-19
The Northerner: The Moon And The Night Sky;Jeremy Soule;1975-12-19
The Northerner Symphony;Jeremy Soule;1975-12-19
Storyeum;Jeremy Soule;1975-12-19
Ecstasy;Jeremy Soule;1975-12-19
The Sims;Jerry Martin;n/a
The Sims Livin' Large;Jerry Martin;n/a
The Sims House Party;Jerry Martin;n/a
The Sims Hot Date;Jerry Martin;n/a
The Sims Vacation;Jerry Martin;n/a
The Sims Unleashed;Jerry Martin;n/a
The Sims Superstar;Jerry Martin;n/a
The Sims Makin' Magic;Jerry Martin;n/a
The Sims Bustin' Out;Jerry Martin;n/a
The Sims Online;Jerry Martin;n/a
The Sims 2;Jerry Martin;n/a
Simcity 3000;Jerry Martin;n/a
Simcity 3000 Unlimited;Jerry Martin;n/a
Simcity 4;Jerry Martin;n/a
Simcity 4 Rush Hour;Jerry Martin;n/a
Simcopter;Jerry Martin;n/a
Simtunes;Jerry Martin;n/a
Simpark;Jerry Martin;n/a
Simsafari;Jerry Martin;n/a
Simgolf;Jerry Martin;n/a
Streets Of Simcity;Jerry Martin;n/a
Supercross 2000;Jerry Martin;n/a
Tony La Russa Baseball;Jerry Martin;n/a
Simcity;Jerry Martin;n/a
Simcity 2000;Jerry Martin;n/a
Simcity 3000;Jerry Martin;n/a
Simcity 4;Jerry Martin;n/a
Rush Hour;Jerry Martin;n/a
Simcity;Jerry Martin;n/a
Simcopter;Jerry Martin;n/a
Streets Of Simcity;Jerry Martin;n/a
64;Jerry Martin;n/a
Ds;Jerry Martin;n/a
Societies;Jerry Martin;n/a
Ds 2;Jerry Martin;n/a
Creator;Jerry Martin;n/a
Social;Jerry Martin;n/a
Buildit;Jerry Martin;n/a
The Sims;Jerry Martin;n/a
The Sims 2;Jerry Martin;n/a
The Sims 3;Jerry Martin;n/a
The Sims 4;Jerry Martin;n/a
Online;Jerry Martin;n/a
Bustin' Out;Jerry Martin;n/a
The Urbz: Sims In The City;Jerry Martin;n/a
Life Stories;Jerry Martin;n/a
Pet Stories;Jerry Martin;n/a
Castaway Stories;Jerry Martin;n/a
Carnival;Jerry Martin;n/a
Medieval;Jerry Martin;n/a
Pirates And Nobles;Jerry Martin;n/a
Social;Jerry Martin;n/a
Freeplay;Jerry Martin;n/a
Mysims;Jerry Martin;n/a
Kingdom;Jerry Martin;n/a
Party;Jerry Martin;n/a
Racing;Jerry Martin;n/a
Agents;Jerry Martin;n/a
Skyheroes;Jerry Martin;n/a
Galactic Adventures;Jerry Martin;n/a
Creature Creator;Jerry Martin;n/a
Creatures;Jerry Martin;n/a
Origins;Jerry Martin;n/a
Hero;Jerry Martin;n/a
Hero Arena;Jerry Martin;n/a
Darkspore;Jerry Martin;n/a
Simearth;Jerry Martin;n/a
Simant;Jerry Martin;n/a
Simlife;Jerry Martin;n/a
Simfarm;Jerry Martin;n/a
Simrefinery;Jerry Martin;n/a
Simtower;Jerry Martin;n/a
Simhealth;Jerry Martin;n/a
Simisle;Jerry Martin;n/a
Simtown;Jerry Martin;n/a
Simpark;Jerry Martin;n/a
Simgolf;Jerry Martin;n/a
Simtunes;Jerry Martin;n/a
Sim Theme Park;Jerry Martin;n/a
Simsafari;Jerry Martin;n/a
Simcoaster;Jerry Martin;n/a
Sid Meier's Simgolf;Jerry Martin;n/a
Simanimals;Jerry Martin;n/a
Lincity;Jerry Martin;n/a
Yoot Tower;Jerry Martin;n/a
The Tower Sp;Jerry Martin;n/a
Raid On Bungeling Bay;Jerry Martin;n/a
Livin' Large;Jerry Martin;n/a
Hot Date;Jerry Martin;n/a
University;Jerry Martin;n/a
Nightlife;Jerry Martin;n/a
Open For Business;Jerry Martin;n/a
Pets;Jerry Martin;n/a
Seasons;Jerry Martin;n/a
Bon Voyage;Jerry Martin;n/a
Freetime;Jerry Martin;n/a
Apartment Life;Jerry Martin;n/a
World Adventures;Jerry Martin;n/a
Ambitions;Jerry Martin;n/a
Late Night;Jerry Martin;n/a
Generations;Jerry Martin;n/a
Pets;Jerry Martin;n/a
Showtime;Jerry Martin;n/a
Supernatural;Jerry Martin;n/a
